title,location,company,salary,description
"Lâp trình viên Junior","Hà Nội","Công ty A","10 triệu","Phát triển và duy trì ứng dụng vue cho các dự án nội bộ."
"Nhân viên kinh doanh","Đà Nẵng","Công ty B","15 triệu","Tìm kiếm và phát triển khách hàng mới, duy trì mối quan hệ với khách hàng hiện tại."
"Chuyên viên phân tích dữ liệu","TP. Hồ Chí Minh","Công ty C","20 triệu","Phân tích dữ liệu để đưa ra các quyết định kinh doanh và báo cáo cho ban quản lý."
"Quản lý dự án","Hải Phòng","Công ty D","25 triệu","Lập kế hoạch, theo dõi tiến độ và đảm bảo hoàn thành dự án đúng thời hạn và ngân sách."
"Nhà thiết kế đồ họa","Hà Nội","Công ty E","12 triệu","Thiết kế các ấn phẩm truyền thông và đồ họa cho các chiến dịch marketing."
"Kỹ sư hệ thống","Đà Nẵng","Công ty F","18 triệu","Quản lý và tối ưu hóa hệ thống máy chủ và mạng lưới của công ty."
"Nhân viên marketing","TP. Hồ Chí Minh","Công ty G","14 triệu","Thực hiện các chiến dịch marketing và quảng bá thương hiệu."
"Kỹ sư mạng","Hà Nội","Công ty H","22 triệu","Thiết kế và triển khai các giải pháp mạng cho doanh nghiệp."
"Chuyên gia an ninh mạng","Đà Nẵng","Công ty I","30 triệu","Đảm bảo an toàn thông tin cho hệ thống và ứng dụng của công ty."
"Nhân viên hỗ trợ kỹ thuật","Hải Phòng","Công ty J","10 triệu","Hỗ trợ kỹ thuật cho khách hàng và xử lý các vấn đề phát sinh."
"Chuyên viên nhân sự","Hà Nội","Công ty K","16 triệu","Quản lý tuyển dụng, đào tạo và phát triển nhân viên."
"Nhà phát triển front-end","TP. Hồ Chí Minh","Công ty L","20 triệu","Phát triển giao diện người dùng cho các ứng dụng web."
"Kỹ sư dữ liệu","Đà Nẵng","Công ty M","28 triệu","Thiết kế và phát triển cơ sở dữ liệu, đảm bảo hiệu suất và độ tin cậy."
"Chuyên viên SEO","Hà Nội","Công ty N","12 triệu","Tối ưu hóa nội dung website để nâng cao thứ hạng trên các công cụ tìm kiếm."
"Nhân viên bán hàng junior","TP. Hồ Chí Minh","Công ty O","15 triệu","Tìm kiếm và phát triển cơ hội bán hàng mới, thực hiện các giao dịch với khách hàng."
"Quản lý sản phẩm","Hải Phòng","Công ty P","35 triệu","Phát triển và quản lý vòng đời sản phẩm từ ý tưởng đến khi ra mắt thị trường."
"Kỹ sư phần mềm","Hà Nội","Công ty Q","11 triệu","Phát triển và kiểm tra phần mềm cho các dự án trong công ty."
"Nhân viên kế toán","Đà Nẵng","Công ty R","13 triệu","Quản lý sổ sách kế toán và báo cáo tài chính cho công ty."
"Chuyên viên pháp lý","TP. Hồ Chí Minh","Công ty S","18 triệu","Tư vấn pháp lý cho công ty và xử lý các vấn đề liên quan đến hợp đồng."
"Nhân viên nghiên cứu thị trường","Hà Nội","Công ty T","14 triệu","Thực hiện các nghiên cứu thị trường để hỗ trợ quyết định kinh doanh."
"Chuyên viên phát triển ứng dụng","Đà Nẵng","Công ty U","26 triệu","Phát triển và duy trì các ứng dụng di động cho công ty."
"Kỹ sư điện tử","Hải Phòng","Công ty V","22 triệu","Thiết kế và phát triển các mạch điện tử cho sản phẩm mới."
"Nhà phát triển back-end","Hà Nội","Công ty W","24 triệu","Phát triển và duy trì server-side logic cho ứng dụng web."
"Chuyên gia trí tuệ nhân tạo","TP. Hồ Chí Minh","Công ty X","40 triệu","Nghiên cứu và phát triển các giải pháp trí tuệ nhân tạo cho sản phẩm của công ty."
"Nhân viên hỗ trợ khách hàng","Đà Nẵng","Công ty Y","11 triệu","Giải quyết các vấn đề và câu hỏi từ khách hàng qua các kênh hỗ trợ khác nhau."
"Kỹ sư cơ khí","Hải Phòng","Công ty Z","20 triệu","Thiết kế và phát triển các sản phẩm cơ khí cho công ty."
"Nhân viên quản lý chuỗi cung ứng","Hà Nội","Công ty AA","17 triệu","Quản lý quy trình cung ứng và đảm bảo hàng hóa đến tay khách hàng đúng thời hạn."
"Chuyên viên nghiên cứu và phát triển","TP. Hồ Chí Minh","Công ty AB","30 triệu","Nghiên cứu và phát triển các sản phẩm công nghệ mới cho thị trường."
"Nhà phân tích tài chính","Đà Nẵng","Công ty AC","23 triệu","Phân tích số liệu tài chính để hỗ trợ các quyết định đầu tư của công ty."
"Kỹ sư thiết kế sản phẩm","Hà Nội","Công ty AD","19 triệu","Thiết kế các sản phẩm mới và cải tiến sản phẩm hiện có."
"Chuyên viên lập trình viên di động","TP. Hồ Chí Minh","Công ty AE","25 triệu","Phát triển ứng dụng di động cho các hệ điều hành khác nhau."
"Nhân viên kiểm soát chất lượng","Hải Phòng","Công ty AF","16 triệu","Đảm bảo các sản phẩm đáp ứng các tiêu chuẩn chất lượng trước khi ra mắt."
"Kỹ sư tự động hóa","Đà Nẵng","Công ty AG","21 triệu","Thiết kế và triển khai các hệ thống tự động cho quy trình sản xuất."
"Nhà phát triển ứng dụng web","Hà Nội","Công ty AH","27 triệu","Phát triển và duy trì các ứng dụng web cho khách hàng."
"Chuyên viên phân tích kinh doanh","TP. Hồ Chí Minh","Công ty AI","32 triệu","Phân tích dữ liệu để xác định cơ hội kinh doanh và tối ưu hóa chiến lược."
"Nhân viên truyền thông","Đà Nẵng","Công ty AJ","15 triệu","Quản lý và phát triển nội dung truyền thông cho công ty."
"Kỹ sư mạng không dây","Hà Nội","Công ty AO","22 triệu","Thiết kế và triển khai các giải pháp mạng không dây cho doanh nghiệp."
"Nhân viên phân tích dữ liệu lớn","TP. Hồ Chí Minh","Công ty AP","29 triệu","Phân tích và quản lý dữ liệu lớn để tạo ra thông tin có giá trị cho doanh nghiệp."
"Kỹ sư thiết kế mạch","Đà Nẵng","Công ty AQ","19 triệu","Thiết kế các mạch điện cho sản phẩm công nghệ mới."
"Chuyên viên truyền thông xã hội","Hải Phòng","Công ty AR","13 triệu","Quản lý các hoạt động truyền thông trên mạng xã hội để tăng cường sự hiện diện thương hiệu."
